,NomeEstacao,Operadora,Responsavel,Municipio-UF,NomeRio,Origem,StatusEstacao,CodEstacao,Bacia,SubBacia,CodRio,Latitude,Longitude,Altitude
3492,UHE CANOAS II GRANJA GAROTA,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,SANTO ANTÔNIO DA PLATINA-PR,RIO PARANAPANEMA,Setor Elétrico,Ativo,64362001,6,64,64100000,-23.34330,-50.16280,438.00
3493,UHE CAPIVARA ANDIRÁ,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ANDIRÁ-PR,RIO DAS CINZAS,Setor Elétrico,Ativo,64370000,6,64,64150000,-23.08580,-50.28530,375.00
3494,UHE CAPIVARA PORTO SANTA TEREZINHA,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SANTA MARIANA-PR,RIO LARANJINHA,Setor Elétrico,Ativo,64390000,6,64,64150900,-23.12250,-50.45030,340.00
3495,ETA - IRATI,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,FERNANDES PINHEIRO-PR,RIO IMBITUVA,RHN,Ativo,64441020,6,64,64160300,-25.46420,-50.53310,750.00
3496,UHEGOV. JAYME CANET JUNIOR UVAIA MONTANTE,00437 - CONS.CECS - Consórcio Energético Cruzeiro do Sul,00437 - CONS.CECS - Consórcio Energético Cruzeiro do Sul,PONTA GROSSA-PR,RIO TIBAJI,Setor Elétrico,Ativo,64444000,6,64,64160000,-25.07560,-50.38890,975.00
3497,PCH SÃO JORGE BARRAMENTO,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,PONTA GROSSA-PR,RIO PITANGUI,Setor Elétrico,Ativo,64450001,6,64,64161200,-25.02220,-50.05690,950.00
3498,UHE CAPIVARA RESERVATÓRIO 5,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ALVORADA DO SUL-PR,RIO PARANAPANEMA,Setor Elétrico,Ativo,64450100,6,64,64100000,-22.96920,-50.60060,329.00
3499,UHE CAPIVARA RESERVATÓRIO 4,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ALVORADA DO SUL-PR,RIO PARANAPANEMA,Setor Elétrico,Ativo,64450200,6,64,64100000,-22.91220,-50.68690,326.00
3500,UHE CAPIVARA RESERVATÓRIO 3,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ALVORADA DO SUL-PR,RIO PARANAPANEMA,Setor Elétrico,Ativo,64450300,6,64,64100000,-22.89860,-50.79140,322.00
3501,UHE CAPIVARA RESERVATÓRIO 2,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ALVORADA DO SUL-PR,RIO PARANAPANEMA,Setor Elétrico,Ativo,64450700,6,64,64100000,-22.85280,-50.99560,335.00
3502,CGH PITANGUI RESERVATÓRIO,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,PONTA GROSSA-PR,RIO PITANGUI,RHN,Manutenção,64452100,6,64,64161200,-25.02810,-50.10190,900.00
3503,PCH SÃO JORGE JUSANTE,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,PONTA GROSSA-PR,RIO PITANGUI,Setor Elétrico,Ativo,64452190,6,64,64161200,-25.03560,-50.10250,850.00
3504,UHE TIBAGI MONTANTE RIO CAPIVARI,01053 - TIBAGI - Tibagi Energia SPE S.A.,01053 - TIBAGI - Tibagi Energia SPE S.A.,TIBAGI-PR,RIO CAPIVARI,Setor Elétrico,Ativo,64461000,6,64,64161300,-24.69000,-50.49220,741.00
3505,UHE TIBAGI MONTANTE RESERVATÓRIO 2,01053 - TIBAGI - Tibagi Energia SPE S.A.,01053 - TIBAGI - Tibagi Energia SPE S.A.,TIBAGI-PR,RIO TIBAJI,Setor Elétrico,Ativo,64464800,6,64,64160000,-24.60720,-50.42530,728.00
3506,UHE GOV. JAYME CANET JUNIOR TIBAGI MONTANTE,00437 - CONS.CECS - Consórcio Energético Cruzeiro do Sul,00437 - CONS.CECS - Consórcio Energético Cruzeiro do Sul,TIBAGI-PR,RIO TIBAJI,Setor Elétrico,Ativo,64464995,6,64,64160000,-24.51220,-50.41110,720.00
3507,UHE TIBAGI MONTANTE RESERVATÓRIO 1,01053 - TIBAGI - Tibagi Energia SPE S.A.,01053 - TIBAGI - Tibagi Energia SPE S.A.,TIBAGI-PR,RIO TIBAJI,Setor Elétrico,Ativo,64469840,6,64,64160000,-24.54690,-50.40060,722.00
3508,UHE TIBAGI MONTANTE BARRAMENTO,01053 - TIBAGI - Tibagi Energia SPE S.A.,01053 - TIBAGI - Tibagi Energia SPE S.A.,TIBAGI-PR,RIO TIBAJI,Setor Elétrico,Ativo,64469845,6,64,64160000,-24.53440,-50.40890,722.00
