Ordem,Seleção SOE ,Seleção SPR/SRE ,PrioridadeANA,FID,Ano/RHNR,Situação,GestorPCD,CODIGO,NOME,OBJ1,OBJ2,OBJ3,OBJ4,OBJ5,OBJ6,SOMA,NTRECHOSAT,UR,Latitude,Longitude,AreaDrenag,Escala,Registrador de nível,Descarga líquida,Sedimentos,Qualidade da água,Telemétrica,Descricao,Observações Adicionais
1,,,,,2020,,,8250002,CALÇOENE,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
78,,,,,2019,Operando,,16100000,CACHOEIRA MORENA,,,,,,,1,,SUREG-MA,-2.1061000000000001,-59.344200000000001,20400,,,,,,,,Substituiu 16080000 BALBINA P-8 (UHE BALBINA) na RHNR 2019
79,,,,200,,,,16350002,PARINTINS,0,1,0,0,0,0,1,1,SUREG-MA,-2.6305999999999998,-56.751899999999999,4430000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
80,,,,697,2019,Operando,,16430000,GARGANTA,0,0,1,0,0,0,1,1,SUREG-BE,-0.99780000000000002,-57.043100000000003,39000,1,0,1,0,1,0, 
81,,,,712,,,,16440000,ALDEIA DO CHAPÉU,0,0,1,0,0,0,1,1,SUREG-BE,-0.94969999999999999,-57.163899999999998,12500,1,0,1,0,1,0, 
82,,,,593,,,,16460000,CARAMUJO,0,0,1,0,0,0,1,1,SUREG-BE,-1.0649999999999999,-57.061399999999999,51700,1,0,1,0,1,0,Saiu da RHNR 2019
83,,,,377,2019,Operando,,16500000,ESTIRÃO DA ANGÉLICA,0,0,1,0,0,0,1,1,SUREG-BE,-1.1006,-57.056899999999999,25800,1,0,1,0,1,0, 
84,,,,589,2019,Operando,,16590000,TABULEIRO  -  REBIO TROMBETAS,0,0,1,0,0,0,1,1,SUREG-BE,-1.3706,-56.851900000000001,79000,1,0,1,0,1,0, 
85,,,,125,2018,Operando,Sim,16900000,ORIXIMINÁ,0,1,1,0,0,0,2,2,SUREG-BE,-1.7764,-55.862200000000001,127000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
86,Sim,,Sim,642,2017,Operando,Sim,17050001,ÓBIDOS,1,1,1,1,0,0,4,3,SUREG-BE,-1.9192,-55.513100000000001,4670000,1,0,1,0,0,1,TELEMÉTRICA - VAISALA_GOES
87,,,,43,,,,17122000,RIO DOS PEIXES,0,0,1,0,0,0,1,1,SUREG-GO,-10.8231,-57.727200000000003,14400,1,0,1,0,1,0, 
88,,Sim,Sim,433,,,,17123000,RIO ARINOS,0,0,1,0,0,0,1,1,SUREG-GO,-10.639200000000001,-58.004199999999997,57100,1,0,1,0,1,0, 
89,,,,198,,,,17340000,INDECO,0,0,1,0,0,0,1,1,SUREG-GO,-10.113300000000001,-55.570599999999999,52200,1,0,1,0,1,0, 
