,Codigo,Sigla,Nome
247,279,CJ ENERGETICA,CJ Energética S.A
248,508,CJ HIDRO,CJ Hydro - Geração de Energia S. A
249,254,CLFM,Companhia Luz e Força Mococa-CLFM
250,216,CLFSC,Companhia Luz e Força Santa Cruz
251,63,CLM,Comissão da Lagoa Mirim
252,32,CMNP,Cia de Melhoramento Norte do Paraná
253,301,CN ENERGIA,CN Energia S.A
254,758,CNB,Companhia de Nickel do Brasil-CNB
255,86,CNEC,Consorcio Nacional de Engenheiros Consultores
256,1102,COBRE,Rio do Cobre Energia Ltda.
257,410,COBUCCIO,Cobuccio e Almeida Energia Ltda. - EPP
258,428,COCAIS GRANDE,Cocais Grande Energia S/A
259,219,CODESP,Companhia Docas do Estado de São Paulo-CODESP
260,4,CODEVASF,Cia de Desenvolvimento dos Vales do São Francisco e Parnaiba
261,37,COELBA,Cia de Eletricidade do Estado da Bahia
262,106,COGERH-CE,Companhia de Gestão dos Recursos Hídricos - Ceará
263,375,COGESDEC,Conselho dos Gestores Municipais de Defesa Civil do Est. do Rio de Janeiro
264,100,COHIDRO,"Consultoria, Estudos e Projetos"
265,820,COHIDRO-SE,Companhia de Desenvolvimento de Recursos Hídricos e Irrigação de Sergipe
266,1231,COMANDO,Comando da Aeronáutica
267,510,COMOSA,Concessionária Mosquitão S.A-COMOSA
268,382,COMPESA,Companhia Pernambucana de Saneamento
269,259,CONCREMAT,Concremat Engenharia e Tecnologia
270,1299,CONFECÇÕES,Luli Industria e Comercio de Confecções Eireli ME
271,514,CONFLUÊNCIA,Confluência Energia S.A
272,793,CONS.AIMORÉS,Consórcio da Hidrelétrica Aimorés
273,798,CONS.ARROZEIRA,Consórcio PCH Arrozeira Meyer
274,786,CONS.ATERPA,Consórcio Aterpa CCM
275,799,CONS.BAGUARI,Consórcio UHE Baguari
276,800,CONS.CANOAS,Consórcio UHE Canoas
277,787,CONS.CAP.BRANCO,Consórcio Capim Branco Energia
278,1004,CONS.CAPIVARI,Consórcio Cerbranorte-Urbano
279,437,CONS.CECS,Consórcio Energético Cruzeiro do Sul
280,788,CONS.CEMIG-CEB,Consorcio CEMIG-CEB
281,420,CONS.CESAP,Consórcio Empresarial Salto Pilão - CESAP
282,791,CONS.CESTE,Consórcio Estreito Energia - CESTE
283,346,CONS.CORUMBÁIII,Consórcio Empreendedor Corumbá lll
284,802,CONS.DFRANCISCA,Consórcio UHE Dona Francisca
285,784,CONS.FUNIL,Consórcio AHE Funil
286,792,CONS.GESAI,Consórcio GESAI - Geração Santa Isabel
287,803,CONS.GUAPORÉ,Consórcio UHE Guaporé
288,789,CONS.IGARAPAVA,Consórcio da Usina Hidreletrica de Igarapava
289,804,CONS.ITÁ,Consórcio UHE Itá
290,806,CONS.JAURU,Consórcio UHE Jauru
291,807,CONS.LUISMAGA,Consórcio UHE Luis Eduardo Magalhães
292,808,CONS.MACHADINHO,Consórcio UHE Machadinho
293,809,CONS.MANSO,Consórcio UHE Manso
294,810,CONS.PAI QUERÊ,Consórcio UHE Pai Querê
295,408,CONS.PESTRELA,Consórcio AHE Porto Estrela
296,794,CONS.RIOGRANDE,Consórcio PCH Alto Rio Grande
297,811,CONS.RISOLETA,Consórcio UHE Risoleta Neves
298,797,CONS.SELT,Consórcio SELT
299,331,CONS.UHEGA,Consórcio UHE Guilman Amorim
300,483,CONSÓRCIO JONAS,Caeté Empreendimentos Energético Ltda.
301,426,CONSTRUFAM,Construfam Engenharia e Empreendimentos Ltda.
302,139,CONSTRUSERV,Construserv Serviços Gerais Ltda
