RegistroID,Importado,Temporario,Removido,ImportadoRepetido,Codigo,Sigla,Nome,DataIns,DataAlt,RespAlt
20537,0,0,0,0,1129,MAZP,Energias Renováveis Mazp Ltda,10/07/2020,,6
20538,0,0,0,0,1130,BRITO,Brito Energética Ltda.,10/07/2020,,6
20539,0,0,0,0,1131,AT&T,AT&T Energia S.A.,10/07/2020,,6
20540,0,0,0,0,1132,LIMPA,Energia Limpa Participações Ltda.,10/07/2020,,6
20541,0,0,0,0,1133,ALTO GUAPORÉ,PCH Alto Guaporé SPE S.A.,10/07/2020,,6
20542,0,0,0,0,1134,OURO BRANCO,Central Hidrelétrica Ouro Branco Ltda.,10/07/2020,,6
20543,0,0,0,0,1135,DIAMANTINO,Diamantino Energia Ltda,10/07/2020,,6
20544,0,0,0,0,1136,VALENTIM,São Valentim Geração de Energia S.A.,10/07/2020,,6
20545,0,0,0,0,1137,LACERDÓPOLIS,Lacerdópolis Energia S.A.,10/07/2020,,6
20546,0,0,0,0,1138,ENERVIX,Enervix Energias do Espiríto Santo,10/07/2020,,6
20547,0,0,0,0,1139,DESERTO,Central Geradora Hidroelétrica Santana do Deserto Ltda.,10/07/2020,,6
20548,0,0,0,0,1140,INGÁ-MIRIM,Ingá-Mirim Energia S.A.,10/07/2020,,6
20549,0,0,0,0,1141,PALMEIRAS,Central Hidrelétrica Palmeiras do Tocantins Ltda.,10/07/2020,,6
20550,0,0,0,0,1142,RIO DAS PEDRAS,Energética Rio das Pedras SPE Ltda.,10/07/2020,,6
20551,0,0,0,0,1143,C2LG GERAÇÃO,C2LG Geração de Energia Ltda.,10/07/2020,,6
20552,0,0,0,0,1144,SUCURI,Central Hidrelétrica Sucuri Ltda.,10/07/2020,,6
20553,0,0,0,0,1145,MAFRÁS ENERGIA,Mafrás Energia e Reflorestamento Ltda.,10/07/2020,,6
20554,0,0,0,0,1146,SIRIVERA,Central Hidrelétrica Sirivera Ltda.,10/07/2020,,6
20555,0,0,0,0,1147,MÉDIO GARCIA,Médio Garcia Hidrelétrica S.A.,10/07/2020,,6
20556,0,0,0,0,1148,PORTO,Porto Energética Ltda.,10/07/2020,,6
20557,0,0,0,0,1149,PARAÍSO,Hidrelétrica Paraíso SPE Ltda.,10/07/2020,,6
20558,0,0,0,0,1150,SÃO PATRÍCIO,Companhia São Patrício de Geração e Transmissão de Energia Elétrica - CSPG&T,10/07/2020,,6
20559,0,0,0,0,1151,CPFL Energias,CPFL Energias Renováveis S.A.,10/07/2020,,6
20560,0,0,0,0,1152,ZARWAL,Zarwal de Participação Ltda.,10/07/2020,,6
20561,0,0,0,0,1153,PRADO,Antônio Prado Energia S.A.,10/07/2020,,6
20562,0,0,0,0,1154,FOCUS,Focus Geração de Energia Ltda.,10/07/2020,,6
20563,0,0,0,0,1155,CHEROBIM,SPE Cherobim Energia S.A.,10/07/2020,,6
20564,0,0,0,0,1156,GALERA,Rio Galera Energética S.A.,10/07/2020,,6
20565,0,0,0,0,1157,SILVEIRA III,Silveira III Energética S.A.,10/07/2020,,6
20566,0,0,0,0,1158,SANTANA,Foz do Santana Geração de Energia S.A.,10/07/2020,,6
